Erdos728FactorialDivisibility	SKIP
FurstenbergCorrespondenceOQ02	FAIL
FurstenbergCorrespondenceOQ02OQ02	PASS
FurstenbergCorrespondenceOQ03	PASS
FurstenbergCorrespondenceOQ03OQ01	PASS
FurstenbergShiftChaos	PASS
FurstenbergShiftTransitive	PASS
GCDAlgorithm	PASS
GCDAlgorithmOQ01	PASS
GCDAlgorithmOQ01OQ03	PASS
GCDAlgorithmOQ01OQ03OQ01	FAIL
GCDAlgorithmOQ01OQ03OQ01OQ01	FAIL
GCDAlgorithmOQ01OQ04	PASS
GCDAlgorithmOQ01OQ05	PASS
GCDAlgorithmOQ05	PASS
GammaLogConvexityOQ01	PASS
GammaLogConvexityOQ01OQ01	PASS
GammaReflectionFormulaOQ01	PASS
GammaReflectionFormulaOQ01OQ01	PASS
GammaReflectionFormulaOQ01OQ01OQ01	PASS
GammaReflectionFormulaOQ01OQ02	PASS
GammaReflectionFormulaOQ01OQ03	PASS
GammaReflectionFormulaOQ01OQ03OQ01	PASS
GammaReflectionFormulaOQ01OQ03OQ01OQ01	PASS
GaussLemmaPrimitiveOQ01	PASS
GaussLemmaPrimitiveOQ01OQ02	PASS
GaussWilsonNonCyclic	PASS
GaussWilsonNonCyclicOQ01	PASS
GaussWilsonNonCyclicOQ01A	PASS
GaussWilsonNonCyclicOQ01B	PASS
GaussWilsonNonCyclicOQ03	PASS
GaussWilsonNonCyclicOQ04	PASS
GcdAlgorithmOQ01OQ01	PASS
GcdAlgorithmOQ01OQ02	PASS
GcdAlgorithmOQ02	FAIL
GcdAlgorithmOQ02OQ01	FAIL
GcdAlgorithmOQ03	PASS
GcdAlgorithmOQ04	PASS
GcdAlgorithmOQ04OQ01	PASS
GelfondSchneider	FAIL
GelfondSchneiderOQ01	PASS
GelfondSchneiderOQ04	PASS
GeneralQuartic	FAIL
GeneralQuarticAxiomsDischarge	FAIL
GeometricSeries	FAIL
GeometricSeriesOQ01	FAIL
GeometricSeriesOQ01Neumann	FAIL
GeometricSeriesOQ01OQ01	PASS
GeometricSeriesOQ01OQ01OQ01	PASS
GeometricSeriesOQ01OQ01OQ02	PASS
GeometricSeriesOQ01OQ02	FAIL
GeometricSeriesOQ01OQ03	PASS
GeometricSeriesOQ01OQ03OQ01	PASS
GeometricSeriesOQ02	PASS
GeometricSeriesOQ02OQ03	FAIL
GeometricSeriesOQ02OQ03OQ01	PASS
GeometricSeriesOQ02OQ03OQ01OQ03	PASS
GeometricSeriesOQ02OQ05	FAIL
GeometricSeriesOQ03	FAIL
GeometricSeriesOQ04	PASS
GeometricSeriesOQ04OQ03	PASS
GeometricSeriesOQ06	PASS
GeometricSeriesOQ06OQ02	PASS
GeometricSeriesOQ07	FAIL
GeometricSeriesOQ07OQ01	PASS
GeometricSeriesOQ07OQ01OQ01	PASS
GeometricSeriesOQ07OQ01OQ01OQ01	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ01	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ01OQ01	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ01OQ01OQ01	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ01OQ03OQ02	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ02	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ02OQ01	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ02OQ01OQ01	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ02OQ01OQ01OQ01	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ02OQ02	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ03	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ03OQ01	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ04	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ05	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ06	PASS
GeometricSeriesOQ07OQ01OQ01OQ01OQ06OQ01	FAIL
GeometricSeriesOQ07OQ01OQ01OQ02	PASS
GeometricSeriesOQ07OQ01OQ01OQ03	PASS
GeometricSeriesOQ07OQ02	FAIL
GeometricSeriesOQ08	FAIL
GeometricSeriesOQ08OQ01	PASS
GeometricSeriesOQ08OQ01OQ01	PASS
GeometricSeriesOQ08OQ01OQ01OQ01	PASS
GeometricSeriesOQ08OQ01OQ01OQ01OQ02	PASS
GeometricSeriesOQ08OQ01OQ01OQ01OQ02OQ01	PASS
GeometricSeriesOQ08OQ01OQ01OQ01OQ02OQ01OQ01	PASS
GeometricSeriesOQ08OQ03	PASS
GeometricSeriesOQ08OQ03OQ01	PASS
GeometricSeriesOQ08OQ03OQ01OQ01	PASS
GeometricSeriesOQ09	PASS
GeometricSeriesOQ09OQ01	PASS
GeometricSeriesOQ09OQ01OQ01	PASS
GeometricSeriesOQ09OQ01OQ01OQ01	PASS
GeometricSeriesOQ09OQ01OQ01OQ01OQ01	PASS
GeometricSeriesOQ09OQ01OQ01OQ02	PASS
GeometricSeriesOQ10	FAIL
GeometricSeriesOQ11	PASS
GnedenkoKolmogorov	PASS
GodelFirstIncompletenessOQ01	PASS
GodelFirstIncompletenessOQ01OQ01	PASS
GodelFirstIncompletenessOQ01OQ02	PASS
GodelFirstIncompletenessOQ01OQ03	PASS
GodelFirstIncompletenessOQ01OQ04	PASS
GodelIncompleteness	PASS
GodelIncompletenessOQ02	PASS
GodelIncompletenessOQ03	PASS
GodelIncompletenessOQ04	PASS
GodelSecondIncompletenessOQ02	PASS
GodelSecondIncompletenessOQ02Companion	PASS
GodelSecondIncompletenessOQ02GLSyntax	PASS
GodelSecondIncompletenessOQ02OQ03	PASS
GodelSecondIncompletenessOQ02Soundness	PASS
GodelSecondIncompletenessOQ02Translate	PASS
GoemansWilliamsonMaxCut	FAIL
GramHadamardMatrixOQ01OQ01OQ02	PASS
GramLinearIndependenceOQ01	PASS
GramLinearIndependenceOQ01OQ01	PASS
GramLinearIndependenceOQ01OQ01OQ02OQ01	PASS
GramLinearIndependenceOQ01OQ02	PASS
GramLinearIndependenceOQ01OQ03	PASS
GramLinearIndependenceOQ01OQ03OQ01	PASS
GraphCore	FAIL
GreensTheorem	FAIL
GreensTheoremOQ01	PASS
GreensTheoremOQ01OQ01	PASS
GreensTheoremOQ01OQ01OQ01	PASS
GreensTheoremOQ01OQ01OQ01OQ01	FAIL
GreensTheoremOQ01OQ01OQ02	FAIL
GreensTheoremOQ01OQ01OQ02OQ01	FAIL
GreensTheoremOQ01OQ01OQ02OQ02	FAIL
GreensTheoremOQ01OQ01OQ02OQ03	FAIL
GreensTheoremOQ01OQ01OQ03	FAIL
GreensTheoremOQ01OQ02	PASS
GreensTheoremOQ01OQ03	PASS
GreensTheoremOQ01OQ03OQ02	PASS
GreensTheoremOQ02	PASS
GreensTheoremOQ02Corrected	PASS
GreensTheoremOQ02Counterexample	PASS
GreensTheoremOQ02FubiniBridge	PASS
GreensTheoremOQ02OQ04	PASS
GreensTheoremOQ03	PASS
GreensTheoremOQ03OQ04	FAIL
GreensTheoremOQ04	FAIL
GroupOrderPrimeSquaredAbelian	PASS
GroupOrderPrimeSquaredAbelianClassificationOQ01OQ01OQ02	PASS
GroupOrderPrimeSquaredAbelianCountOQ03	PASS
GroupOrderPrimeSquaredAbelianElementCountsOQ03	PASS
GroupOrderPrimeSquaredAbelianExponentOQ01	PASS
GroupOrderPrimeSquaredAbelianIsoOQ01OQ01OQ02	FAIL
HadamardThreeLines	PASS
HallMarriageTheoremOQ01	PASS
HallMarriageTheoremOQ01OQ01	PASS
HallMarriageTheoremOQ01OQ01OQ01	PASS
HallMarriageTheoremOQ01OQ01OQ01OQ01	PASS
HallMarriageTheoremOQ01OQ02	PASS
HallsTheoremOQ01	PASS
HallsTheoremOQ01OQ01	PASS
HallsTheoremOQ01OQ02	PASS
HallsTheoremOQ01OQ03	PASS
HallsTheoremOQ02	PASS
HallsTheoremOQ02OQ01	PASS
HaltingApproximation	PASS
HaltingArithmeticalHierarchy	PASS
HaltingProblem	PASS
HaltingProblemOQ02	PASS
HandshakeLemma	PASS
HandshakeLemmaOQ01	PASS
HappyNumberOQ01	PASS
HarmonicDivergence	FAIL
HarmonicDivergenceOQ01	PASS
HarmonicDivergenceOQ01OQ02	PASS
HarmonicDivergenceOQ02	FAIL
HarmonicDivergenceOQ02OQ01	PASS
HarmonicDivergenceOQ03	PASS
HarmonicDivergenceOQ03OQ01	PASS
HarmonicDivergenceOQ04	FAIL
HarmonicDivergenceOQ05	PASS
HarmonicDivergenceOQ05OQ01	PASS
HarmonicDivergenceOQ05OQ02	PASS
HarmonicDivergenceOQ06	PASS
HarmonicDivergenceOQ06OQ02	PASS
HellingerToeplitzSharpOQ010101	PASS
HermiteFloorIdentity	FAIL
HermiteFloorIdentityOQ01	FAIL
HermiteFloorIdentityOQ02	FAIL
HermiteFloorIdentityOQ03	FAIL
HermiteLegendreFactorial	FAIL
HermiteLegendreFactorialOQ01	FAIL
HermiteLegendreFactorialOQ02	FAIL
HermiteLindemann	FAIL
HermiteSawtoothIdentity	FAIL
HermiteSawtoothIdentityOQ01	PASS
HermiteSawtoothIdentityOQ01OQ03	PASS
HermiteSawtoothIdentityOQ02	FAIL
HeronsFormula	PASS
HeronsFormulaOQ01	FAIL
HeronsFormulaOQ03	PASS
HeronsFormulaOQ04	PASS
HeronsFormulaOQ06	PASS
HeronsFormulaOQ0601	PASS
HeronsFormulaOQ06OQ02	PASS
HeronsFormulaOQ07	PASS
HierholzerAlgorithm	FAIL
Hilbert10	PASS
Hilbert10OQ01	PASS
Hilbert10OQ01OQ02	PASS
Hilbert10OQ03	PASS
Hilbert10OQ04	PASS
Hilbert10OQ04OQ03	PASS
Hilbert10OQ04OQ03OQ01	PASS
Hilbert10OQ04OQ03OQ01OQ01	PASS
Hilbert10OQ04OQ03OQ02	PASS
Hilbert10OQ04OQ03OQ02OQ01	PASS
Hilbert10OQ04OQ03OQ03	PASS
Hilbert11OQ01	PASS
Hilbert11OQ01Aristotle	FAIL
Hilbert11OQ01OQ01	PASS
Hilbert11OQ01OQ01Aristotle	PASS
Hilbert11OQ02	PASS
Hilbert11_QuadraticForms	PASS
Hilbert11_QuadraticFormsAristotle	FAIL
Hilbert13GeneralSpaces	PASS
Hilbert13OQ02	PASS
Hilbert13OQ02OQ01	PASS
Hilbert13OQ03	PASS
Hilbert13Superposition	PASS
Hilbert14Invariants	FAIL
Hilbert14InvariantsOQ01	FAIL
Hilbert14NonReductive	FAIL
Hilbert14OQ02	PASS
Hilbert14OQ02OQ01	PASS
Hilbert14OQ02OQ02	PASS
Hilbert14OQ04	PASS
Hilbert15OQ01	PASS
Hilbert15OQ02	PASS
Hilbert15OQ02OQ03	PASS
Hilbert15OQ02OQ03OQ01	FAIL
Hilbert15SchubertCalculus	FAIL
Hilbert15SchubertCalculusOQ01	FAIL
Hilbert16	FAIL
Hilbert17MotzkinNotSOS	PASS
Hilbert17MotzkinRationalSOS	PASS
Hilbert17OQ01	FAIL
Hilbert17OQ01OQ01	PASS
Hilbert17OQ01OQ01CoprimeNormalization	PASS
Hilbert17OQ01OQ01OQ01	PASS
Hilbert17OQ01OQ01RootMultiplicity	PASS
Hilbert17OQ01OQ04	PASS
Hilbert17OQ02	PASS
Hilbert17OQ03OQ05	PASS
Hilbert17QuadraticGram	PASS
Hilbert17RobinsonNotSOS	PASS
Hilbert17RobinsonRationalSOS	FAIL
Hilbert17SumOfSquares	PASS
Hilbert17UnivariatePSDSOS	PASS
Hilbert19OQ03	PASS
Hilbert19Regularity	FAIL
Hilbert20BoundaryValue	FAIL
Hilbert20LocalSolvability	FAIL
Hilbert20OQ01OQ03	FAIL
Hilbert20OQ01OQ03Aristotle	FAIL
Hilbert21RiemannHilbert	FAIL
Hilbert22OQ01	FAIL
Hilbert22OQ01OQ03	FAIL
Hilbert22OQ01OQ03Pseudohyperbolic	FAIL
Hilbert22OQ01OQ03Universal	FAIL
Hilbert22Uniformization	FAIL
Hilbert23CalculusVariations	FAIL
Hilbert23CalculusVariationsOQ01	FAIL
Hilbert3OQ01	PASS
Hilbert3OQ02	PASS
Hilbert3OQ04NivenTetrahedron	PASS
Hilbert3ScissorsCongruence	FAIL
Hilbert4Geodesics	FAIL
Hilbert4OQ04	PASS
Hilbert5LieGroups	FAIL
Hilbert5OQ02	FAIL
Hilbert6PhysicsAxioms	FAIL
Hilbert9ConstantReciprocity	PASS
Hilbert9CyclotomicReciprocity	FAIL
Hilbert9QuadraticSubfield	FAIL
Hilbert9Reciprocity	FAIL
HockeyStickCatalanOQ0602	PASS
HodgeConjecture	FAIL
HolderIntegralInequality	PASS
HurwitzCommSharp	PASS
HurwitzOnlyIf	PASS
HurwitzTheorem	PASS
HurwitzTheoremOQ02	PASS
HurwitzTheoremOQ03WIP01	PASS
HurwitzTheoremOQ04	FAIL
HurwitzUniversal	PASS
HyperbolicLawCosinesModelOQ0301	PASS
IncidenceCauchySchwarz	PASS
IncidenceCauchySchwarzDual	FAIL
InclusionExclusion	FAIL
InclusionExclusionBonferroniGeneral	PASS
InclusionExclusionGeneral	PASS
InclusionExclusionOQ01	PASS
InclusionExclusionOQ01OQ03	PASS
InclusionExclusionOQ03	PASS
InclusionExclusionOQ0301	PASS
InclusionExclusionOQ05OQ01	PASS
InclusionExclusionSecondBonferroni	FAIL
InclusionExclusionSieve	PASS
InclusionExclusionSieveDerangements	PASS
InclusionExclusionSieveDerangementsBonferroni	PASS
InclusionExclusionSieveSurjections	PASS
InfinitudePrimes	FAIL
InfinitudePrimes3k2	PASS
InfinitudePrimes4k1	FAIL
InfinitudePrimes4k1OQ01	PASS
InfinitudePrimes4k1OQ02	PASS
InfinitudePrimes4k1OQ02OQ01	PASS
InfinitudePrimes4k1OQ03	FAIL
InfinitudePrimes4k3	PASS
InfinitudePrimes4k3OQ01	FAIL
InfinitudePrimes4k3OQ01Klein2	PASS
InfinitudePrimes4k3OQ01OQ01	PASS
InfinitudePrimes4k3OQ01Q12Q24	FAIL
InfinitudePrimes4k3OQ01Tower	PASS
InfinitudePrimes4k3OQ02	PASS
InfinitudePrimes4k3OQ03	FAIL
InfinitudePrimes4k3OQ03OQ01	PASS
InfinitudePrimesOQ01	FAIL
InfinitudePrimesOQ04	PASS
InfinitudePrimesOQ05	PASS
InfinitudePrimesOQ06	PASS
IntegralRootTheoremOQ01	PASS
IntermediateValueTheorem	PASS
IntermediateValueTheoremOQ01	PASS
IntermediateValueTheoremOQ01OQ01	PASS
IntermediateValueTheoremOQ02	PASS
IntermediateValueTheoremOQ02OQ01	PASS
IntermediateValueTheoremOQ02OQ02	PASS
IntermediateValueTheoremOQ02OQ03	PASS
IntermediateValueTheoremOQ02OQ03OQ01	PASS
IntermediateValueTheoremOQ03	FAIL
IntermediateValueTheoremOQ03OQ01	PASS
IntermediateValueTheoremOQ04	PASS
InverseGalois	FAIL
InverseGaloisA5	FAIL
InverseGaloisA5Dedekind	FAIL
InverseGaloisA5DedekindInstantiation	FAIL
InverseGaloisA5DedekindKummer	PASS
InverseGaloisA5DedekindMod7	FAIL
InverseGaloisA5OQ02	FAIL
InverseGaloisA5OQ03	PASS
InverseGaloisA5Resultant	PASS
InverseGaloisA5Resultant2	PASS
InverseGaloisA5ResultantDet	PASS
InverseGaloisD4	FAIL
InverseGaloisD4OQ01	FAIL
InverseGaloisD4OQ01External	FAIL
InverseGaloisD4OQ02	FAIL
InverseGaloisD4OQ02OQ03	FAIL
InverseGaloisD4OQ02OQ03OQ01	FAIL
InverseGaloisD4OQ02OQ03OQ01OQ01	FAIL
InverseGaloisD4OQ02OQ03OQ01OQ01OQ01	FAIL
InverseGaloisD4OQ02OQ04	FAIL
InverseGaloisD4OQ03	FAIL
InverseGaloisD4OQ03Incomplete01	PASS
InverseGaloisF20	FAIL
InverseGaloisF20OQ02	FAIL
InverseGaloisOQ01	FAIL
InverseGaloisOQ02	FAIL
InverseGaloisOQ02Aristotle	PASS
InverseGaloisOQ03	FAIL
InverseGaloisOQ05	PASS
InverseGaloisOQ06OQ01	FAIL
InverseGaloisOQ06OQ02	FAIL
InverseGaloisOQ06OQ02Cycle	PASS
InverseGaloisOQ06OQ02GalAction	PASS
InverseGaloisOQ06OQ02GalBridge	FAIL
InverseGaloisOQ06OQ02GapChar	FAIL
InverseGaloisOQ06OQ02GenCycle	PASS
InverseGaloisOQ06OQ02InertiaDvd	PASS
InverseGaloisOQ06OQ02P11	FAIL
IsoperimetricFourierOQ0101	PASS
IsoperimetricTheorem	FAIL
IsoperimetricTheoremOQ01	FAIL
IsoperimetricTheoremOQ02	FAIL
IsoperimetricTheoremOQ02OQ03	PASS
IsoperimetricTheoremOQ02OQ03OQ01	PASS
IsoperimetricTheoremOQ03	PASS
IsoscelesTriangle	PASS
IsoscelesTriangleOQ01	PASS
IsoscelesTriangleOQ02	PASS
IsoscelesTriangleOQ02OQ01	PASS
IsoscelesTriangleOQ02OQ02	PASS
JacobiSumDiagonalIntegral	PASS
JacobiSymbolOQ01	PASS
JacobiSymbolOQ0101	PASS
JacobiSymbolOQ0103	PASS
JensenInequalityOQ01	PASS
JensenInequalityOQ01OQ01	PASS
JensenInequalityOQ01OQ01OQ01	PASS
JensenInequalityOQ01OQ01OQ01OQ01	PASS
JensenInequalityOQ01OQ01OQ01OQ01OQ01	PASS
JensenInequalityOQ01OQ01OQ01OQ01OQ01OQ01	PASS
JensenInequalityOQ01OQ01OQ01OQ02	PASS
JensenInequalityOQ01OQ01OQ01OQ03	PASS
JensenInequalityOQ01OQ01OQ01OQ04	PASS
JensenInequalityOQ01OQ02	PASS
JensenInequalityOQ01OQ03	PASS
KaprekarConstantOQ01	PASS
KeithNumberOQ01	PASS
KeithNumberOQ01OQ02	PASS
KeplerConjecture	PASS
KeplerConjectureOQ01	PASS
KeplerConjectureOQ04	PASS
KeplerConjectureOQ04Interval	PASS
KnightsTourOblique	FAIL
KnightsTourObliqueOQ01	FAIL
KnightsTourObliqueOQ01OQ02	FAIL
KnightsTourObliqueOQ02	FAIL
KnightsTourObliqueOQ02Order16	FAIL
KnightsTourObliqueOQ02Palindrome	FAIL
KnightsTourObliqueOQ02Reverse	FAIL
KnightsTourObliqueOQ02ReverseCount	FAIL
KnightsTourObliqueOQ03	FAIL
KnightsTourObliqueOQ04	PASS
Konigsberg	FAIL
KonigsbergOQ01	FAIL
KonigsbergOQ01OQ02	FAIL
KonigsbergOQ01OQ02Incomplete01	PASS
KonigsbergOQ01OQ02Recipe	FAIL
KonigsbergOQ02	FAIL
KonigsbergOQ02OQ01	FAIL
KonigsbergOQ02OQ01Aristotle	FAIL
KonigsbergOQ02OQ01OQ02	PASS
KonigsbergOQ02OQ01OQ02OQ01	PASS
KonigsbergOQ02OQ01OQ02OQ01Boundary	PASS
KonigsbergOQ02OQ01OQ02OQ01Dev	PASS
KonigsbergOQ02OQ01OQ02OQ01Splice	FAIL
KonigsbergOQ03	FAIL
KonigsbergOQ03OQ01	PASS
KonigsbergOQ03OQ02	PASS
KonigsbergOQ04	FAIL
KonigsbergOQ04OQ01MatrixTree	PASS
KonigsbergOQ05	PASS
KroneckersJugendtraum	FAIL
KroneckersJugendtraumOQ01	PASS
KroneckersJugendtraumRealQuadAbelian	FAIL
KroneckersJugendtraumStarkRankOne	FAIL
KummerTheorem	FAIL
KummerTheoremOQ01	PASS
KummerTheoremOQ01Aristotle	PASS
KummerTheoremOQ01OQ01	FAIL
KummerTheoremOQ02	FAIL
KummerTheoremOQ02OQ03	PASS
KummerTheoremOQ03	FAIL
KummerTheoremOQ04	PASS
KummerTheoremOQ04OQ01	PASS
KummerTheoremOQ04OQ01OQ01	PASS
KummerTheoremOQ04OQ02	PASS
KummerTheoremOQ05	PASS
LHopital	PASS
LHopitalOQ01	PASS
LHopitalOQ01OQ01	PASS
LHopitalOQ02	PASS
LHopitalOQ02Aristotle	PASS
LHopitalOQ02Incomplete01	FAIL
LHopitalOQ03	FAIL
LHopitalOQ04	FAIL
LHopitalOQ04OQ01	FAIL
LHopitalOQ05	PASS
LHopitalOQ05OQ01	PASS
LHopitalOQ05OQ02	PASS
LagrangeFourSquares	PASS
LagrangeFourSquaresOQ01	PASS
LagrangeFourSquaresOQ01OQ01	PASS
LagrangeFourSquaresOQ01OQ03	FAIL
LagrangeFourSquaresOQ01OQ03Bound	PASS
LagrangeFourSquaresOQ01OQ03Even	PASS
LagrangeFourSquaresOQ02	FAIL
LagrangeFourSquaresOQ02OQ02	FAIL
LagrangeFourSquaresOQ03	PASS
LagrangeFourSquaresOQ03OQ01	PASS
LagrangeFourSquaresOQ04	FAIL
LagrangeFourSquaresOQ04OQ01	PASS
LagrangeFourSquaresOQ05	FAIL
LagrangeFourSquaresWaringG2	PASS
LagrangeFourSquaresWaringG2OQ01	PASS
LagrangeFourSquaresWaringG2OQ01Counting	PASS
LagrangeFourSquaresWaringG2OQ01CountingG4	PASS
LagrangeFourSquaresWaringG2OQ01CountingG5	PASS
LagrangeFourSquaresWaringG2OQ01CountingG6	PASS
LagrangeFourSquaresWaringG2OQ01CountingG7	PASS
LagrangeFourSquaresWaringG2OQ01CountingG8	PASS
LagrangeFourSquaresWaringG2OQ01CountingTemplate	PASS
LagrangeFourSquaresWaringG2OQ01ExactValue	PASS
LagrangeFourSquaresWaringG2OQ01General	PASS
LagrangeFourSquaresWaringG2OQ03OQ03	PASS
LagrangeFourSquaresWaringG2OQ03OQ04	PASS
LagrangeFourSquaresWaringG2OQ03OQ05	PASS
LagrangeFourSquaresWaringG2OQ03OQ05OQ01	PASS
LagrangeFourSquaresWaringG2OQ03OQ05OQ01OQ01	PASS
LagrangeFourSquaresWaringG2OQ03OQ07	PASS
LagrangeFourSquaresWaringG2OQ03OQ07OQ01	PASS
LagrangeFourSquaresWaringG2OQ03OQ07OQ01OQ02	PASS
LagrangeFourSquaresWaringG2OQ03OQ08	PASS
LagrangeTheorem	FAIL
LagrangeTheoremOQ01	FAIL
LagrangeTheoremOQ01OQ01	FAIL
LagrangeTheoremOQ01OQ01OQ01	FAIL
LagrangeTheoremOQ01OQ01OQ01ApproachB	FAIL
LagrangeTheoremOQ01OQ01OQ02	PASS
LagrangeTheoremOQ01OQ02	FAIL
LagrangeTheoremOQ01OQ03	FAIL
LagrangeTheoremOQ01OQ03OQ01	FAIL
LagrangeTheoremOQ01OQ03OQ02	PASS
